Rank,title,AuthorName,Language,Price_normal,Id
1,Syv m2 med lås,Jussi Adler-Olsen,Dansk,249.95,9788740068849
2,Terminalen,Michael Katz Krefeld,Dansk,199.95,9788740090079
3,Mørket bag dig,KIRSTEN THORUP,Dansk,159.95,9788702324686
4,HjerneRo,Peter Vangsgaard Hyldig,Dansk,169.95,9788727106427
5,Lysets våben,Ken Follett,Dansk,189.95,9788702399158
6,De hvide nætter,Katrine Engberg,Dansk,199.95,9788775622832
7,Stormbjerget,Liza Marklund,Dansk,179.95,9788775935055
8,OXEN – De mørke mænd,Jens Henrik Jensen,Dansk,109.95,9788740016390
9,OXEN – Pilgrim,Jens Henrik Jensen,Dansk,199.95,9788740068733
10,Mirage,Camilla Läckberg,Dansk,179.95,9788775935031
11,Vanedyr,Nicklas Brendborg,Dansk,219.95,9788773396995
12,OXEN – De frosne flammer,Jens Henrik Jensen,Dansk,139.95,9788740028720
13,Oplevelsessamfundet,Svend Brinkmann,Dansk,129.95,9788759343418
14,Den våde grav,Robert Galbraith,Dansk,159.95,9788702408218
15,Hafni fortæller,Helle Helle,Dansk,159.95,9788743406044
16,Forandringslederens håndbog,Søren Brandi,Dansk,79.95,9788702234237
17,Manden der bar solen,Kristian Bang Foss,Dansk,159.95,9788702308785
18,OXEN – Lupus,Jens Henrik Jensen,Dansk,139.95,9788740051421
19,Natrium Chlorid,Jussi Adler-Olsen,Dansk,199.95,9788740074987
20,Det blinde øje,Mathilde Walter Clark,Dansk,179.95,9788740089134
21,Kold maj,Maria Helleberg,Dansk,129.95,9788702397574
22,Glutenfri jul,Simon Weisdorf,Dansk,39.95,9788797053713
23,Mosen,Liza Marklund,Dansk,179.95,9788775930296
24,Polarcirklen,Liza Marklund,Dansk,149.95,9788772386430
25,Drageland,Puk Damsgård,Dansk,199.95,9788740090109
26,Der kom et brev fra München,Håkan Nesser,Dansk,159.95,9788770078986
27,Bedrag bedragerne,Jan Guillou,Dansk,159.95,9788770078924
28,Atlas - Historien om Pa Salt,Lucinda Riley,Dansk,189.95,9788702391046
29,Fabric for Fashion,Amanda Johnston,Engelsk,37.2,9781529419962
30,Brænd alle mine breve,Alex Schulman,Dansk,149.95,9788711995877
31,Røde linjer,Elsebeth Egholm,Dansk,99.95,9788775935208
32,Gøgeungen,Camilla Läckberg,Dansk,209.95,9788775930937
33,Under en anden himmel,Mich Vraa,Dansk,199.95,9788711996713
34,Vi er vores valg,René Dahl Andersen,Dansk,219.95,9788773396841
35,OXEN – De hængte hunde,Jens Henrik Jensen,Dansk,109.95,9788740007336
36,Sig du kan li mig,Astrid Haug,Dansk,79.95,9788702183399
37,Testamentet,Wilbur Smith,Dansk,129.95,9788727103235
38,Overleverne,Alex Schulman,Dansk,99.95,9788711994139
39,Kager du kender – bare glutenfri,Karina Baagø,Dansk,99.95,9788794289733
40,Bandekrigerne fra Blågårds Plads,Carsten Norton,Dansk,179.95,9788740088540
41,Tre,Valérie Perrin,Dansk,199.95,9788775621118
42,Iron Flame,,Engelsk,130.44,9780349437040
43,KLUDEKRÆMMERENS HÅNDKLÆDEBOG,Dorte Hummelshøj Jakobsen,Dansk,109.95,9788793197862
44,Bjørn,Iben Mondrup,Dansk,199.95,9788740068818
45,Sår,Sara Blaedel,Dansk,199.95,9788740083576
46,Introduktion til REGNSKAB,John Hannover,Dansk,74.95,9788740431391
47,Let livet,Sara Maria Franch-Mærkedahl,Dansk,179.95,9788740089165
48,Twisted Lies - 4,Ana Huang,Dansk,79.95,9789180543088
49,Vølvens vej - Ulvegabet,Anne-Marie Vedsø Olesen,Dansk,179.95,9788727116457
50,Twisted Games - 2,Ana Huang,Dansk,79.95,9789180542920
151,Den hun er,Astrid Saalbach,Dansk,49.95,9788702144932
152,Mimbo Jimbo besøger sin familie - Lyt&læs,Jakob Martin Strid,Dansk,49.95,9788702166682
