title,price
Vilela  4300 4300,USD 220.000
AV. ALVAREZ THOMAS  1800,USD 325.000
Correa 3200,USD 199.000
Manuela Pedraza al 3800,USD 370.000
Mendoza al 5100,USD 560.000
General Paz 1100,USD 156.000
Qbay Yacht  Nordelta,USD 160.000
Puerto Escondido - NORDELTA- Espigon 13,USD 165.000
INSIGNIA - EL PALMAR,USD 185.000
Arias  3300,USD 370.000
La Paz 300,$ 2.100.000
olleros  al 2900,USD 690.000
Piran al 5600,USD 357.000
Juramento al 5500,USD 550.000
Avenida AVELLANEDA 700,USD 398.000
Helguera al 5200,USD 250.000
Don Bosco al 100,USD 59.000
CONDARCO 5000,USD 350.000
AV. SALVADOR M. DEL CARRIL 2700,USD 280.000
Don Bosco al 1400,USD 178.000
Obispo Terrero 61,USD 129.000
CORREA 3100,USD 300.000
"Liniers al 400, 2A",USD 112.268
Dr. Emir Mercader 4400,USD 390.000
Tronador e/ Besares y Vilela,USD 375.000
Zapiola 1100,USD 420.000
Vedia 3000,USD 260.000
Virrey Olaguer y Feliu 2800,USD 600.000
Capitán General Ramón Freire 1300,USD 250.000
Teodoro García 3000,USD 298.000
Capitán General Ramón Freire 1300,USD 350.000
Superí al 1600,USD 12.000.000
Victorino De La Plaza 1600,USD 1.250.000
Av. De Los Incas al 3700,USD 595.000
Blanco Encalada al 3900,USD 395.000
DR. JUAN FELIPE ARANGUREN  al 800,USD 550.000
O'HIGGINS 100,USD 145.000
Cnel A Figueroa 800,USD 600.000
F Doblas 400,USD 1.350.000
Pje Ampere 800,USD 320.000
Ortega e/ Rojas y Colpayo,USD 280.000
Dr. Luis Belaustegui al 1200,USD 155.000
Pje El Maestro 100,USD 630.000
Tronador 4200,USD 295.000
Arias al 4200,USD 380.000
Beauchef  800,USD 690.000
Tte Cnel M Besares 4600,USD 119.000
J Superi 3600,USD 285.000
Jorge Newbery  2400 2400,USD 375.000
Freire 1700,USD 730.000
Estomba al 1500,USD 1.050.000
ECHEVERRIA 4000,USD 485.000
Juramento 3700,USD 490.000
NICOLAS REPETTO 400,USD 425.000
Coronel Ramon Falcon 1600,USD 480.000
Galicia  1100 1100,USD 349.900
Fragata Sarmiento 1200,USD 500.000
Acevedo 400,USD 560.000
Ambrosetti 900,USD 690.000
QUINTINO BOCAYUVA al 600,USD 798.000
Superí 4600,USD 339.000
Jaramillo al 2800,USD 330.000
Moldes 3636 PB  |  CON COCHERA,USD 200.000
Washington 2945,USD 649.000
E Valdenegro 4600,USD 310.000
conesa al 4400,USD 370.000
Av. Lacroze 2100,USD 1.350.000
Maure entre Malasia y Villanueva,USD 2.499.000
Av. Lacroze  2100,USD 1.350.000
Cramer 3048,USD 1.000.000
